,Title,Price,Old Price,Discount Price,Year,Mileage,Fuel,Engine Volume,Car Class,Engine Power
310,Smart ForTwo 800 CDI (može zamena),2699 €,,,2005,207.000,Dizel,799,Kupe,33kW(45KS)
311,Smart ForFour,2200 €,,,2005,220.000,Benzin,1124,Limuzina,55kW(75KS)
312,Smart ForTwo Turbo Pulse,4000 €,,,2008,124.167,Benzin,998,Kupe,61kW(83KS)
313,Smart ForTwo 1.0 mhd,4500 €,,,2010,112.452,Benzin,999,Kupe,45kW(61KS)
314,Smart ForTwo Smart ForTwo,3690 €,,,2009,116.061,Dizel,799,Kupe,33kW(45KS)
315,Smart ForTwo,1100 €,,,2003,1.000,Benzin,600,Kupe,44kW(60KS)
316,Smart ForTwo,Po dogovoru,,,2002,133.500,Benzin,600,Kupe,44kW(60KS)
317,Smart ForTwo 1.0,6000 €,,,2015,117.000,Benzin,998,Kupe,52kW(71KS)
318,Smart ForTwo 0.6 turbo,1400 €,,,2002,136.000,Benzin,598,Kupe,33kW(45KS)
319,Smart ForTwo  (može zamena),3650 €,,,2007,127.000,Benzin,999,Kupe,62kW(84KS)
320,Smart ForFour 999,5450 €,,,2015,54.000,Benzin,999,Hečbek,52kW(71KS)
321,Smart ForTwo 1.0 Garaziran,8790,8790,7980 €,2017,16.250,Benzin,999,Kupe,45kW(61KS)
322,Smart ForTwo passion (može zamena),1899 €,,,2004,200.000,Benzin,698,Kupe,45kW(61KS)
323,Smart ForTwo,4200 €,,,2012,140.000,Benzin,999,Kupe,45kW(61KS)
324,Smart ForTwo cabrio TURBO,2390 €,,,2003,130.000,Benzin,700,Kabriolet/Roadster,45kW(61KS)
325,Smart ForTwo cdi (može zamena),1900 €,,,2001,201.252,Dizel,799,Kupe,30kW(41KS)
326,Smart ForTwo  (može zamena),1899 €,,,2003,128.000,Benzin,598,Kupe,35kW(48KS)
327,Smart ForTwo 0.9T cdi,6000,6000,5500 €,2013,71.568,Dizel,800,Kupe,40kW(54KS)
328,Smart ForFour 1.5 CDI,2200 €,,,2004,280.000,Dizel,1493,Hečbek,70kW(95KS)
329,Smart ForTwo Coupe,4500 €,,,2012,119.800,Benzin,999,Limuzina,52kW(71KS)
330,Smart ForTwo 600,2350 €,,,2006,180.000,Benzin,600,Kupe,37kW(50KS)
331,Smart ForTwo 700 TURBO (može zamena),2350 €,,,2003,153.000,Benzin,700,Kupe,45kW(61KS)
332,Smart ForTwo  (može zamena),Po dogovoru,,,2002,137.515,Benzin,599,Kupe,33kW(45KS)
333,Smart ForFour 1.5 dci (može zamena),3000 €,,,2006,297.000,Dizel,1500,Hečbek,70kW(95KS)
334,Smart ForTwo 1.0  Mhd F1,4690 €,,,2011,40.406,Benzin,999,Hečbek,52kW(71KS)
335,Smart ForTwo 0.7 pure turbo,2350 €,,,2005,120.000,Benzin,700,Hečbek,52kW(71KS)
336,Smart ForFour brabus look,2300 €,,,2004,217.000,Benzin,1125,Hečbek,55kW(75KS)
337,Smart ForTwo 0.8 CDI,2500 €,,,2006,162.000,Dizel,799,Kabriolet/Roadster,30kW(41KS)
338,Smart ForTwo Smart Fortwo Coupe (može zamena),7500 €,,,2017,43.000,Benzin,999,Kupe,52kW(71KS)
339,Smart ForTwo,3500 €,,,2008,130.000,Benzin,998,Kupe,52kW(71KS)
340,Smart ForTwo 1.0 kabrio,6790 €,,,2015,45.000,Benzin,999,Kabriolet/Roadster,52kW(71KS)
341,Smart ForTwo,1850 €,,,2001,206.480,Dizel,799,Kupe,30kW(41KS)
342,Smart ForTwo,4700,4700,4100 €,2010,84.000,Benzin,1000,Kupe,71kW(97KS)
343,"Smart ForFour 1,5 cdi",2800,2800,2600 €,2006,269.700,Dizel,1493,Limuzina,50kW(68KS)
344,Smart ForTwo,2450 €,,,2008,170.000,Benzin,998,Kupe,55kW(75KS)
345,Smart ForTwo,2950 €,,,2006,157.000,Benzin,698,Kupe,45kW(61KS)
346,Smart ForTwo,7300 €,,,2015,57.430,Benzin,57457,Kupe,52kW(71KS)
347,Smart ForTwo 0.8 d,2350 €,,,2003,140.000,Dizel,790,Kupe,30kW(41KS)
348,Smart ForTwo 0.6 (može zamena),1900 €,,,2002,210.315,Benzin,599,Kupe,45kW(61KS)
349,Smart ForTwo njicko,1900 €,,,2002,150.000,Benzin,599,Hečbek,33kW(45KS)
350,Smart ForTwo Cabrio Pulse oprema,Po dogovoru,,,2002,190.000,Benzin,599,Kabriolet/Roadster,45kW(61KS)
351,Smart ForTwo,2100,2100,1800 €,2002,124.000,Benzin,600,Kabriolet/Roadster,40kW(54KS)
352,Smart ForTwo,4100 €,,,2008,165.000,Benzin,999,Kupe,52kW(71KS)
353,Smart ForTwo,1750 €,,,2001,161.800,Benzin,599,Kabriolet/Roadster,45kW(61KS)
354,Smart ForTwo,12550 €,,,2018,45.000,Benzin,999,Kupe,52kW(71KS)
355,Smart ForTwo 450 CDI (može zamena),2000 €,,,2003,131.300,Dizel,799,Kupe,30kW(41KS)
356,Smart ForTwo 1.0i mhd cabrio,4700 €,,,2012,75.800,Benzin,999,Kabriolet/Roadster,52kW(71KS)
357,Smart ForTwo,4200 €,,,2008,110.000,Benzin,999,Kabriolet/Roadster,52kW(71KS)
358,Smart ForTwo Reg (može zamena),1600 €,,,2002,156.800,Benzin,599,Kupe,40kW(54KS)
359,Smart ForTwo,3500 €,,,2011,175.000,Benzin,1000,Kupe,52kW(71KS)
360,Smart ForFour 1.5 CDI Leather,2500 €,,,2005,146.000,Dizel,1493,Hečbek,70kW(95KS)
361,Smart ForTwo  (može zamena),1660 €,,,2003,134.000,Benzin,600,Kupe,45kW(61KS)
362,Smart ForFour  (može zamena),2500 €,,,2006,235.000,Dizel,1500,Hečbek,70kW(95KS)
363,Smart ForTwo,2100 €,,,2006,134.218,Benzin,698,Kupe,45kW(61KS)
